id,playerID,award,year,league,tie,notes,createdAt,updatedAt
192,collied01,Baseball Magazine All-Star,1912,AL,,2B,,
193,gardnla01,Baseball Magazine All-Star,1912,AL,,3B,,
194,stanaos01,Baseball Magazine All-Star,1912,AL,,C1,,
195,ainsmed01,Baseball Magazine All-Star,1912,AL,,C2,,
196,cobbty01,Baseball Magazine All-Star,1912,AL,,OF,,
197,jacksjo01,Baseball Magazine All-Star,1912,AL,,OF,,
198,speaktr01,Baseball Magazine All-Star,1912,AL,,OF,,
199,johnswa01,Baseball Magazine All-Star,1912,AL,,P1,,
200,woodjo02,Baseball Magazine All-Star,1912,AL,,P2,,
201,planked01,Baseball Magazine All-Star,1912,AL,,P3,,
202,wagnehe01,Baseball Magazine All-Star,1912,AL,,SS,,
203,daubeja01,Baseball Magazine All-Star,1912,ML,,1B,,
204,eversjo01,Baseball Magazine All-Star,1912,ML,,2B,,
205,zimmehe01,Baseball Magazine All-Star,1912,ML,,3B,,
206,archeji01,Baseball Magazine All-Star,1912,ML,,C1,,
207,meyerch01,Baseball Magazine All-Star,1912,ML,,C2,,
208,cobbty01,Baseball Magazine All-Star,1912,ML,,OF,,
209,jacksjo01,Baseball Magazine All-Star,1912,ML,,OF,,
210,speaktr01,Baseball Magazine All-Star,1912,ML,,OF,,
211,johnswa01,Baseball Magazine All-Star,1912,ML,,P1,,
212,woodjo02,Baseball Magazine All-Star,1912,ML,,P1,,
213,ruckena01,Baseball Magazine All-Star,1912,ML,,P2,,
214,wagneho01,Baseball Magazine All-Star,1912,ML,,SS,,
215,daubeja01,Baseball Magazine All-Star,1912,NL,,1B,,
216,eversjo01,Baseball Magazine All-Star,1912,NL,,2B,,
217,zimmehe01,Baseball Magazine All-Star,1912,NL,,3B,,
218,archeji01,Baseball Magazine All-Star,1912,NL,,C1,,
219,meyerch01,Baseball Magazine All-Star,1912,NL,,C2,,
220,mageesh01,Baseball Magazine All-Star,1912,NL,,OF,,
221,paskedo01,Baseball Magazine All-Star,1912,NL,,OF,,
222,wilsoch01,Baseball Magazine All-Star,1912,NL,,OF,,
223,tesreje01,Baseball Magazine All-Star,1912,NL,,P1,,
224,mathech01,Baseball Magazine All-Star,1912,NL,,P2,,
