id,year,league,team,teamID,parkID,spanFirst,spanLast,games,openings,attendance,createdAt,updatedAt
98,1878,NL,IN1,1878IN1,STL02,1878-07-09,1878-07-13,3,0,0,,
99,1878,NL,ML2,1878ML2,MIL01,1878-05-14,1878-09-14,25,0,0,,
100,1878,NL,PRO,1878PRO,NYC01,1878-07-26,1878-07-26,1,0,0,,
101,1878,NL,PRO,1878PRO,PRO02,1878-05-01,1878-09-30,31,0,0,,
102,1879,NL,BFN,1879BFN,BUF01,1879-05-01,1879-09-30,40,0,0,,
103,1879,NL,BSN,1879BSN,BOS01,1879-05-28,1879-09-27,42,0,0,,
104,1879,NL,CHN,1879CHN,CHI03,1879-05-01,1879-08-26,43,0,0,,
105,1879,NL,CL2,1879CL2,CLE02,1879-05-01,1879-09-30,42,0,0,,
106,1879,NL,CN1,1879CN1,CIN02,1879-05-01,1879-08-27,37,0,0,,
107,1879,NL,PRO,1879PRO,PRO02,1879-05-28,1879-09-30,42,0,0,,
108,1879,NL,SR1,1879SR1,SYR01,1879-05-28,1879-09-10,34,0,0,,
109,1879,NL,TRN,1879TRN,TRO02,1879-05-28,1879-09-20,41,0,0,,
110,1880,NL,BFN,1880BFN,BUF01,1880-05-07,1880-09-16,43,0,0,,
111,1880,NL,BSN,1880BSN,BOS01,1880-05-04,1880-09-30,43,0,0,,
112,1880,NL,CHN,1880CHN,CHI03,1880-05-07,1880-09-30,43,0,0,,
113,1880,NL,CL2,1880CL2,CLE02,1880-05-01,1880-09-22,44,0,0,,
114,1880,NL,CN1,1880CN1,CIN03,1880-05-01,1880-09-30,40,0,0,,
115,1880,NL,PRO,1880PRO,PRO02,1880-05-01,1880-09-27,44,0,0,,
116,1880,NL,TRN,1880TRN,ALB01,1880-09-11,1880-09-11,1,0,0,,
117,1880,NL,TRN,1880TRN,TRO01,1880-05-18,1880-09-17,40,0,0,,
118,1880,NL,WOR,1880WOR,WOR01,1880-05-01,1880-10-01,42,0,0,,
119,1881,NL,BFN,1881BFN,BUF01,1881-05-05,1881-09-10,41,0,0,,
120,1881,NL,BSN,1881BSN,BOS01,1881-05-03,1881-09-30,41,0,0,,
121,1881,NL,CHN,1881CHN,CHI03,1881-04-30,1881-08-25,42,0,0,,
122,1881,NL,CL2,1881CL2,CLE02,1881-05-06,1881-09-05,42,0,0,,
123,1881,NL,DTN,1881DTN,DET01,1881-05-02,1881-09-09,42,0,0,,
124,1881,NL,PRO,1881PRO,PRO02,1881-05-02,1881-09-30,43,0,0,,
125,1881,NL,TRN,1881TRN,ALB01,1881-06-15,1881-09-10,2,0,0,,
126,1881,NL,TRN,1881TRN,TRO01,1881-05-05,1881-09-30,41,0,0,,
127,1881,NL,WOR,1881WOR,WOR01,1881-04-30,1881-09-30,42,0,0,,
128,1882,NL,BFN,1882BFN,BUF01,1882-05-01,1882-09-26,39,0,0,,
129,1882,AA,BL2,1882BL2,BAL02,1882-05-09,1882-09-30,33,0,0,,
130,1882,NL,BSN,1882BSN,BOS01,1882-05-01,1882-09-30,43,0,0,,
131,1882,NL,CHN,1882CHN,CHI03,1882-05-10,1882-09-30,45,0,0,,
132,1882,NL,CL2,1882CL2,CLE02,1882-05-01,1882-09-30,42,0,0,,
133,1882,AA,CN2,1882CN2,CIN03,1882-05-02,1882-09-28,42,0,0,,
134,1882,NL,DTN,1882DTN,DET01,1882-05-15,1882-09-20,43,0,0,,
135,1882,AA,LS2,1882LS2,LOU02,1882-05-05,1882-09-25,39,0,0,,
136,1882,AA,PH4,1882PH4,PHI03,1882-05-02,1882-09-21,39,0,0,,
137,1882,NL,PRO,1882PRO,PRO02,1882-05-01,1882-10-02,42,0,0,,
138,1882,AA,PT1,1882PT1,PIT02,1882-05-10,1882-09-23,37,0,0,,
139,1882,AA,SL4,1882SL4,STL03,1882-05-02,1882-10-01,44,0,0,,
140,1882,NL,TRN,1882TRN,ALB01,1882-05-16,1882-05-30,4,0,0,,
141,1882,NL,TRN,1882TRN,WAT01,1882-05-20,1882-08-26,38,0,0,,
142,1882,NL,WOR,1882WOR,WOR01,1882-05-02,1882-09-29,42,0,0,,
143,1883,NL,BFN,1883BFN,BUF01,1883-05-05,1883-09-08,49,0,0,,
144,1883,AA,BL2,1883BL2,BAL03,1883-05-01,1883-09-06,49,0,0,,
145,1883,NL,BSN,1883BSN,BOS01,1883-05-30,1883-09-29,49,0,0,,
146,1883,NL,CHN,1883CHN,CHI03,1883-05-05,1883-09-08,49,0,0,,
147,1883,NL,CL2,1883CL2,CLE02,1883-05-01,1883-08-22,49,0,0,,
148,1883,AA,CL5,1883CL5,COL01,1883-05-01,1883-09-27,47,0,0,,
149,1883,AA,CN2,1883CN2,CIN03,1883-05-01,1883-09-29,51,0,0,,
150,1883,NL,DTN,1883DTN,DET01,1883-05-01,1883-09-03,51,0,0,,
151,1883,AA,LS2,1883LS2,LOU02,1883-05-11,1883-09-30,47,0,0,,
152,1883,NL,NY1,1883NY1,NYC03,1883-05-01,1883-09-29,49,0,0,,
153,1883,AA,NY4,1883NY4,NYC03,1883-05-12,1883-09-06,34,0,0,,
154,1883,AA,NY4,1883NY4,NYC04,1883-05-30,1883-09-04,13,0,0,,
155,1883,AA,PH4,1883PH4,PHI01,1883-05-10,1883-09-07,51,0,0,,
156,1883,NL,PHI,1883PHI,PHI04,1883-05-01,1883-09-29,50,0,0,,
157,1883,NL,PRO,1883PRO,PRO02,1883-05-30,1883-09-29,49,0,0,,
158,1883,AA,PT1,1883PT1,PIT02,1883-06-12,1883-09-06,32,0,0,,
159,1883,AA,PT1,1883PT1,PIT03,1883-05-01,1883-06-09,17,0,0,,
160,1883,AA,SL4,1883SL4,STL03,1883-05-15,1883-09-30,49,0,0,,
161,1884,UA,ALT,1884ALT,ALT01,1884-04-30,1884-05-31,18,0,0,,
162,1884,NL,BFN,1884BFN,BUF02,1884-05-21,1884-10-15,58,0,0,,
163,1884,AA,BL2,1884BL2,BAL03,1884-05-01,1884-10-15,57,0,0,,
164,1884,UA,BLU,1884BLU,BAL04,1884-04-17,1884-09-24,49,0,0,,
165,1884,UA,BLU,1884BLU,BAL05,1884-08-25,1884-08-25,1,0,0,,
166,1884,AA,BR3,1884BR3,NYC05,1884-05-05,1884-10-15,52,0,0,,
