id,playerID,year,gameNum,gameID,team,teamID,league,playedInGame,startingPos, createdAt, updatedAt
108,colliri02,1935,0,ALS193507080,SLN,1935SLN,NL,1,,,
109,deandi01,1935,0,ALS193507080,SLN,1935SLN,NL,1,,,
110,derripa01,1935,0,ALS193507080,CIN,1935CIN,NL,1,,,
111,friscfr01,1935,0,ALS193507080,SLN,1935SLN,NL,0,,,
112,hartnga01,1935,0,ALS193507080,CHN,1935CHN,NL,1,,,
113,hubbeca01,1935,0,ALS193507080,NY1,1935NY1,NL,0,,,
114,mancugu01,1935,0,ALS193507080,NY1,1935NY1,NL,1,,,
115,moorejo02,1935,0,ALS193507080,NY1,1935NY1,NL,1,,,
116,schumha02,1935,0,ALS193507080,NY1,1935NY1,NL,1,,,
117,wanerpa01,1935,0,ALS193507080,PIT,1935PIT,NL,1,,,
118,whitebu01,1935,0,ALS193507080,SLN,1935SLN,NL,1,,,
119,grovele01,1936,0,NLS193607070,BOS,1936BOS,AL,1,1,,
120,ferreri01,1936,0,NLS193607070,BOS,1936BOS,AL,1,2,,
121,gehrilo01,1936,0,NLS193607070,NYA,1936NYA,AL,1,3,,
122,gehrich01,1936,0,NLS193607070,DET,1936DET,AL,1,4,,
123,higgipi01,1936,0,NLS193607070,PHA,1936PHA,AL,1,5,,
124,applilu01,1936,0,NLS193607070,CHA,1936CHA,AL,1,6,,
125,radclri01,1936,0,NLS193607070,CHA,1936CHA,AL,1,7,,
126,averiea01,1936,0,NLS193607070,CLE,1936CLE,AL,1,8,,
127,dimagjo01,1936,0,NLS193607070,NYA,1936NYA,AL,1,9,,
128,bridgto01,1936,0,NLS193607070,DET,1936DET,AL,0,,,
129,chapmbe01,1936,0,NLS193607070,WS1,1936WS1,AL,1,,,
130,crosefr01,1936,0,NLS193607070,NYA,1936NYA,AL,1,,,
131,dickebi01,1936,0,NLS193607070,NYA,1936NYA,AL,1,,,
132,foxxji01,1936,0,NLS193607070,BOS,1936BOS,AL,1,,,
133,gomezle01,1936,0,NLS193607070,NYA,1936NYA,AL,0,,,
134,gosligo01,1936,0,NLS193607070,DET,1936DET,AL,1,,,
135,hardeme01,1936,0,NLS193607070,CLE,1936CLE,AL,1,,,
136,hemslro01,1936,0,NLS193607070,SLA,1936SLA,AL,0,,,
137,kenneve01,1936,0,NLS193607070,CHA,1936CHA,AL,0,,,
138,pearsmo01,1936,0,NLS193607070,NYA,1936NYA,AL,0,,,
139,rowesc01,1936,0,NLS193607070,DET,1936DET,AL,1,,,
140,selkige01,1936,0,NLS193607070,NYA,1936NYA,AL,1,,,
141,deandi01,1936,0,NLS193607070,SLN,1936SLN,NL,1,1,,
142,hartnga01,1936,0,NLS193607070,CHN,1936CHN,NL,1,2,,
143,colliri02,1936,0,NLS193607070,SLN,1936SLN,NL,1,3,,
144,hermabi01,1936,0,NLS193607070,CHN,1936CHN,NL,1,4,,
145,whitnpi01,1936,0,NLS193607070,PHI,1936PHI,NL,1,5,,
146,durocle01,1936,0,NLS193607070,SLN,1936SLN,NL,1,6,,
147,medwijo01,1936,0,NLS193607070,SLN,1936SLN,NL,1,7,,
148,galanau01,1936,0,NLS193607070,CHN,1936CHN,NL,1,8,,
149,demarfr02,1936,0,NLS193607070,CHN,1936CHN,NL,1,9,,
150,bergewa01,1936,0,NLS193607070,BSN,1936BSN,NL,0,,,
151,daviscu01,1936,0,NLS193607070,CHN,1936CHN,NL,1,,,
152,hubbeca01,1936,0,NLS193607070,NY1,1936NY1,NL,1,,,
153,lombaer01,1936,0,NLS193607070,CIN,1936CIN,NL,0,,,
154,martist01,1936,0,NLS193607070,SLN,1936SLN,NL,0,,,
155,moorejo02,1936,0,NLS193607070,NY1,1936NY1,NL,0,,,
156,mungova01,1936,0,NLS193607070,BRO,1936BRO,NL,0,,,
157,ottme01,1936,0,NLS193607070,NY1,1936NY1,NL,1,,,
158,riggsle01,1936,0,NLS193607070,CIN,1936CIN,NL,1,,,
159,suhrgu01,1936,0,NLS193607070,PIT,1936PIT,NL,0,,,
160,vaughar01,1936,0,NLS193607070,PIT,1936PIT,NL,0,,,
161,warnelo01,1936,0,NLS193607070,CHN,1936CHN,NL,1,,,
162,gomezle01,1937,0,ALS193707070,NYA,1937NYA,AL,1,1,,
163,dickebi01,1937,0,ALS193707070,NYA,1937NYA,AL,1,2,,
164,gehrilo01,1937,0,ALS193707070,NYA,1937NYA,AL,1,3,,
165,gehrich01,1937,0,ALS193707070,DET,1937DET,AL,1,4,,
166,rolfere01,1937,0,ALS193707070,NYA,1937NYA,AL,1,5,,
167,cronijo01,1937,0,ALS193707070,BOS,1937BOS,AL,1,6,,
168,westsa01,1937,0,ALS193707070,SLA,1937SLA,AL,1,7,,
169,averiea01,1937,0,ALS193707070,CLE,1937CLE,AL,1,8,,
170,dimagjo01,1937,0,ALS193707070,NYA,1937NYA,AL,1,9,,
171,bellbe01,1937,0,ALS193707070,SLA,1937SLA,AL,0,,,
172,bridgto01,1937,0,ALS193707070,DET,1937DET,AL,1,,,
173,cliftha01,1937,0,ALS193707070,SLA,1937SLA,AL,0,,,
174,cramedo01,1937,0,ALS193707070,BOS,1937BOS,AL,0,,,
175,ferreri01,1937,0,ALS193707070,WS1,1937WS1,AL,0,,,
176,ferrewe01,1937,0,ALS193707070,WS1,1937WS1,AL,0,,,
177,foxxji01,1937,0,ALS193707070,BOS,1937BOS,AL,1,,,
178,greenha01,1937,0,ALS193707070,DET,1937DET,AL,0,,,
179,grovele01,1937,0,ALS193707070,BOS,1937BOS,AL,0,,,
180,hardeme01,1937,0,ALS193707070,CLE,1937CLE,AL,1,,,
181,moseswa01,1937,0,ALS193707070,PHA,1937PHA,AL,0,,,
182,murphjo04,1937,0,ALS193707070,NYA,1937NYA,AL,0,,,
183,myerbu01,1937,0,ALS193707070,WS1,1937WS1,AL,0,,,
184,sewellu01,1937,0,ALS193707070,CHA,1937CHA,AL,0,,,
185,stratmo01,1937,0,ALS193707070,CHA,1937CHA,AL,0,,,
186,walkege02,1937,0,ALS193707070,DET,1937DET,AL,0,,,
187,deandi01,1937,0,ALS193707070,SLN,1937SLN,NL,1,1,,
188,hartnga01,1937,0,ALS193707070,CHN,1937CHN,NL,1,2,,
189,mizejo01,1937,0,ALS193707070,SLN,1937SLN,NL,1,3,,
190,hermabi01,1937,0,ALS193707070,CHN,1937CHN,NL,1,4,,
191,vaughar01,1937,0,ALS193707070,PIT,1937PIT,NL,1,5,,
192,bartedi01,1937,0,ALS193707070,NY1,1937NY1,NL,1,6,,
193,medwijo01,1937,0,ALS193707070,SLN,1937SLN,NL,1,7,,
194,demarfr02,1937,0,ALS193707070,CHN,1937CHN,NL,1,8,,
195,wanerpa01,1937,0,ALS193707070,PIT,1937PIT,NL,1,9,,
196,blantcy01,1937,0,ALS193707070,PIT,1937PIT,NL,1,,,
197,colliri02,1937,0,ALS193707070,CHN,1937CHN,NL,1,,,
198,grissle01,1937,0,ALS193707070,CIN,1937CIN,NL,1,,,
199,hubbeca01,1937,0,ALS193707070,NY1,1937NY1,NL,1,,,
200,jurgebi01,1937,0,ALS193707070,CHN,1937CHN,NL,0,,,
201,lombaer01,1937,0,ALS193707070,CIN,1937CIN,NL,0,,,
202,mancugu01,1937,0,ALS193707070,NY1,1937NY1,NL,1,,,
203,martipe01,1937,0,ALS193707070,SLN,1937SLN,NL,0,,,
204,moorege03,1937,0,ALS193707070,BSN,1937BSN,NL,0,,,
205,moorejo02,1937,0,ALS193707070,NY1,1937NY1,NL,1,,,
206,mungova01,1937,0,ALS193707070,BRO,1937BRO,NL,1,,,
207,ottme01,1937,0,ALS193707070,NY1,1937NY1,NL,1,,,
