id,award,year,league,playerID,pointsWon,pointsMax,votesFirst,createdAt,updatedAt
234,Cy Young,1981,AL,vuckope01,8,140,0,,
235,Cy Young,1981,NL,carltst01,50,120,5,,
236,Cy Young,1981,NL,ryanno01,28,120,3,,
237,Cy Young,1981,NL,seaveto01,67,120,8,,
238,Cy Young,1981,NL,suttebr01,1,120,0,,
239,Cy Young,1981,NL,valenfe01,70,120,8,,
240,Cy Young,1982,AL,caudibi01,4,140,0,,
241,Cy Young,1982,AL,palmeji01,59,140,4,,
242,Cy Young,1982,AL,petryda01,1,140,0,,
243,Cy Young,1982,AL,quiseda01,40,140,4,,
244,Cy Young,1982,AL,stanlbo01,4,140,0,,
245,Cy Young,1982,AL,stiebda01,36,140,5,,
246,Cy Young,1982,AL,sutclri01,14,140,1,,
247,Cy Young,1982,AL,vuckope01,87,140,14,,
248,Cy Young,1982,AL,zahnge01,7,140,0,,
249,Cy Young,1982,NL,andujjo01,1,120,0,,
250,Cy Young,1982,NL,carltst01,112,120,20,,
251,Cy Young,1982,NL,garbege01,1,120,0,,
252,Cy Young,1982,NL,mintogr01,4,120,0,,
253,Cy Young,1982,NL,niekrph01,18,120,0,,
254,Cy Young,1982,NL,rogerst01,29,120,1,,
255,Cy Young,1982,NL,sotoma01,0,120,0,,
256,Cy Young,1982,NL,suttebr01,25,120,2,,
257,Cy Young,1982,NL,valenfe01,25,120,1,,
258,Cy Young,1983,AL,dotsori01,9,140,0,,
259,Cy Young,1983,AL,guidrro01,5,140,0,,
260,Cy Young,1983,AL,hoytla01,116,140,17,,
261,Cy Young,1983,AL,mcgresc01,3,140,0,,
262,Cy Young,1983,AL,morrija02,38,140,2,,
263,Cy Young,1983,AL,quiseda01,81,140,9,,
264,Cy Young,1983,NL,dennyjo01,103,120,20,,
265,Cy Young,1983,NL,hollaal01,4,120,0,,
266,Cy Young,1983,NL,mcmurcr01,3,120,0,,
267,Cy Young,1983,NL,mcwilla01,7,120,0,,
268,Cy Young,1983,NL,oroscje01,19,120,1,,
269,Cy Young,1983,NL,rogerst01,15,120,1,,
270,Cy Young,1983,NL,ryanno01,1,120,0,,
271,Cy Young,1983,NL,smithle02,1,120,0,,
272,Cy Young,1983,NL,sotoma01,61,120,2,,
273,Cy Young,1983,NL,welchbo01,2,120,0,,
274,Cy Young,1984,AL,blylebe01,45,140,4,,
275,Cy Young,1984,AL,boddimi01,41,140,3,,
276,Cy Young,1984,AL,hernawi01,88,140,12,,
277,Cy Young,1984,AL,morrija02,1,140,0,,
278,Cy Young,1984,AL,petryda01,3,140,0,,
279,Cy Young,1984,AL,quiseda01,71,140,9,,
280,Cy Young,1984,AL,stiebda01,1,140,0,,
281,Cy Young,1984,AL,violafr01,2,140,0,,
282,Cy Young,1984,NL,andujjo01,12,120,0,,
283,Cy Young,1984,NL,goodedw01,45,120,0,,
284,Cy Young,1984,NL,gossari01,3,120,0,,
285,Cy Young,1984,NL,sotoma01,2,120,0,,
286,Cy Young,1984,NL,sutclri01,120,120,24,,
287,Cy Young,1984,NL,suttebr01,33,120,0,,
288,Cy Young,1985,AL,alexado01,5,140,0,,
289,Cy Young,1985,AL,blylebe01,9,140,1,,
290,Cy Young,1985,AL,burnsbr01,2,140,0,,
291,Cy Young,1985,AL,guidrro01,88,140,4,,
292,Cy Young,1985,AL,leibrch01,7,140,0,,
293,Cy Young,1985,AL,mooredo01,2,140,0,,
294,Cy Young,1985,AL,mooremi01,1,140,0,,
295,Cy Young,1985,AL,quiseda01,9,140,0,,
296,Cy Young,1985,AL,saberbr01,127,140,23,,
297,Cy Young,1985,AL,stiebda01,2,140,0,,
298,Cy Young,1985,NL,andujjo01,6,120,0,,
299,Cy Young,1985,NL,brownto05,3,120,0,,
300,Cy Young,1985,NL,goodedw01,120,120,24,,
301,Cy Young,1985,NL,hershor01,17,120,0,,
302,Cy Young,1985,NL,reardje01,1,120,0,,
303,Cy Young,1985,NL,tudorjo01,65,120,0,,
304,Cy Young,1985,NL,valenfe01,4,120,0,,
305,Cy Young,1986,AL,clemero02,140,140,28,,
306,Cy Young,1986,AL,eichhma01,2,140,0,,
307,Cy Young,1986,AL,higuete01,42,140,0,,
308,Cy Young,1986,AL,morrija02,13,140,0,,
309,Cy Young,1986,AL,righeda01,20,140,0,,
310,Cy Young,1986,AL,wittmi01,35,140,0,,
311,Cy Young,1986,NL,darliro01,2,120,0,,
312,Cy Young,1986,NL,fernasi01,1,120,0,,
313,Cy Young,1986,NL,goodedw01,1,120,0,,
314,Cy Young,1986,NL,krukomi01,15,120,0,,
315,Cy Young,1986,NL,ojedabo01,9,120,0,,
316,Cy Young,1986,NL,rhoderi01,2,120,0,,
317,Cy Young,1986,NL,scottmi03,98,120,15,,
318,Cy Young,1986,NL,valenfe01,88,120,9,,
319,Cy Young,1987,AL,alexado01,8,140,1,,
320,Cy Young,1987,AL,clemero02,124,140,21,,
321,Cy Young,1987,AL,higuete01,5,140,0,,
322,Cy Young,1987,AL,keyji01,64,140,4,,
323,Cy Young,1987,AL,langsma01,7,140,0,,
324,Cy Young,1987,AL,morrija02,3,140,0,,
325,Cy Young,1987,AL,reardje01,4,140,0,,
326,Cy Young,1987,AL,stewada01,32,140,2,,
327,Cy Young,1987,AL,violafr01,5,140,0,,
328,Cy Young,1987,NL,bedrost01,57,120,9,,
329,Cy Young,1987,NL,goodedw01,12,120,1,,
330,Cy Young,1987,NL,hershor01,14,120,2,,
331,Cy Young,1987,NL,reuscri01,54,120,8,,
332,Cy Young,1987,NL,ryanno01,12,120,0,,
333,Cy Young,1987,NL,scottmi03,9,120,0,,
334,Cy Young,1987,NL,sutclri01,55,120,4,,
335,Cy Young,1987,NL,welchbo01,3,120,0,,
336,Cy Young,1988,AL,clemero02,8,140,0,,
337,Cy Young,1988,AL,eckerde01,52,140,1,,
338,Cy Young,1988,AL,gubicma01,26,140,0,,
339,Cy Young,1988,AL,hurstbr01,12,140,0,,
340,Cy Young,1988,AL,stewada01,16,140,0,,
341,Cy Young,1988,AL,violafr01,138,140,27,,
342,Cy Young,1988,NL,coneda01,42,120,0,,
343,Cy Young,1988,NL,hershor01,120,120,24,,
344,Cy Young,1988,NL,jacksda02,54,120,0,,
345,Cy Young,1989,AL,ballaje01,3,140,0,,
346,Cy Young,1989,AL,blylebe01,9,140,0,,
347,Cy Young,1989,AL,eckerde01,3,140,0,,
348,Cy Young,1989,AL,mooremi01,10,140,0,,
349,Cy Young,1989,AL,olsongr01,3,140,0,,
350,Cy Young,1989,AL,russeje01,1,140,0,,
351,Cy Young,1989,AL,ryanno01,5,140,0,,
352,Cy Young,1989,AL,saberbr01,138,140,27,,
353,Cy Young,1989,AL,stewada01,80,140,1,,
354,Cy Young,1989,NL,belchti01,4,120,0,,
355,Cy Young,1989,NL,bielemi01,1,120,0,,
356,Cy Young,1989,NL,davisma01,107,120,19,,
357,Cy Young,1989,NL,garresc01,4,120,0,,
358,Cy Young,1989,NL,hershor01,7,120,1,,
359,Cy Young,1989,NL,maddugr01,17,120,0,,
360,Cy Young,1989,NL,magrajo01,7,120,0,,
361,Cy Young,1989,NL,reuscri01,3,120,0,,
362,Cy Young,1989,NL,scottmi03,65,120,4,,
363,Cy Young,1989,NL,willimi02,1,120,0,,
364,Cy Young,1990,AL,clemero02,77,140,8,,
365,Cy Young,1990,AL,eckerde01,2,140,0,,
366,Cy Young,1990,AL,finlech01,1,140,0,,
367,Cy Young,1990,AL,stewada01,43,140,3,,
368,Cy Young,1990,AL,stiebda01,2,140,0,,
369,Cy Young,1990,AL,thigpbo01,20,140,2,,
370,Cy Young,1990,AL,welchbo01,107,140,15,,
371,Cy Young,1990,NL,drabedo01,118,120,23,,
372,Cy Young,1990,NL,goodedw01,8,120,0,,
373,Cy Young,1990,NL,martira02,70,120,1,,
374,Cy Young,1990,NL,myersra01,1,120,0,,
375,Cy Young,1990,NL,violafr01,19,120,0,,
376,Cy Young,1991,AL,abbotji01,26,140,0,,
377,Cy Young,1991,AL,clemero02,119,140,21,,
378,Cy Young,1991,AL,ericksc01,56,140,3,,
379,Cy Young,1991,AL,gullibi01,5,140,0,,
380,Cy Young,1991,AL,harvebr01,10,140,0,,
381,Cy Young,1991,AL,langsma01,7,140,0,,
382,Cy Young,1991,AL,mcdowja01,3,140,0,,
383,Cy Young,1991,AL,morrija02,17,140,3,,
384,Cy Young,1991,AL,tapanke01,6,140,1,,
385,Cy Young,1991,AL,warddu01,3,140,0,,
386,Cy Young,1991,NL,averyst01,1,120,0,,
387,Cy Young,1991,NL,benesan01,1,120,0,,
388,Cy Young,1991,NL,glavito02,110,120,19,,
389,Cy Young,1991,NL,martide01,4,120,0,,
390,Cy Young,1991,NL,rijojo01,13,120,1,,
391,Cy Young,1991,NL,smilejo01,26,120,0,,
392,Cy Young,1991,NL,smithle02,60,120,4,,
393,Cy Young,1991,NL,willimi02,1,120,0,,
394,Cy Young,1992,AL,brownke01,9,140,0,,
395,Cy Young,1992,AL,clemero02,48,140,4,,
396,Cy Young,1992,AL,eckerde01,107,140,19,,
397,Cy Young,1992,AL,mcdowja01,51,140,2,,
398,Cy Young,1992,AL,morrija02,10,140,1,,
399,Cy Young,1992,AL,mussimi01,26,140,2,,
400,Cy Young,1992,AL,nagych01,1,140,0,,
401,Cy Young,1992,NL,drabedo01,1,120,0,,
402,Cy Young,1992,NL,glavito02,78,120,4,,
403,Cy Young,1992,NL,maddugr01,112,120,20,,
404,Cy Young,1992,NL,smithle02,3,120,0,,
405,Cy Young,1992,NL,tewksbo01,22,120,0,,
406,Cy Young,1993,AL,appieke01,30,140,1,,
407,Cy Young,1993,AL,guzmaju01,1,140,0,,
408,Cy Young,1993,AL,hentgpa01,3,140,0,,
409,Cy Young,1993,AL,johnsra05,75,140,6,,
410,Cy Young,1993,AL,keyji01,14,140,0,,
411,Cy Young,1993,AL,mcdowja01,124,140,21,,
412,Cy Young,1993,AL,warddu01,5,140,0,,
413,Cy Young,1993,NL,burkejo03,9,140,0,,
414,Cy Young,1993,NL,glavito02,49,140,4,,
415,Cy Young,1993,NL,greento01,2,140,0,,
416,Cy Young,1993,NL,harvebr01,1,140,0,,
417,Cy Young,1993,NL,maddugr01,119,140,22,,
418,Cy Young,1993,NL,myersra01,1,140,0,,
419,Cy Young,1993,NL,portuma01,2,140,0,,
420,Cy Young,1993,NL,rijojo01,8,140,0,,
421,Cy Young,1993,NL,swiftbi02,61,140,2,,
422,Cy Young,1994,AL,coneda01,108,140,15,,
423,Cy Young,1994,AL,johnsra05,24,140,2,,
424,Cy Young,1994,AL,keyji01,96,140,10,,
425,Cy Young,1994,AL,mussimi01,23,140,1,,
426,Cy Young,1994,AL,smithle02,1,140,0,,
427,Cy Young,1994,NL,beckro01,1,140,0,,
428,Cy Young,1994,NL,drabedo01,4,140,0,,
429,Cy Young,1994,NL,francjo01,2,140,0,,
430,Cy Young,1994,NL,freemma02,4,140,0,,
431,Cy Young,1994,NL,hillke01,56,140,0,,
432,Cy Young,1994,NL,jacksda02,3,140,0,,
433,Cy Young,1994,NL,maddugr01,140,140,28,,
434,Cy Young,1994,NL,saberbr01,42,140,0,,
435,Cy Young,1995,AL,coneda01,18,140,0,,
436,Cy Young,1995,AL,johnsra05,136,140,26,,
437,Cy Young,1995,AL,mesajo01,54,140,2,,
438,Cy Young,1995,AL,mussimi01,14,140,0,,
439,Cy Young,1995,AL,nagych01,1,140,0,,
440,Cy Young,1995,AL,wakefti01,29,140,0,,
441,Cy Young,1995,NL,glavito02,30,140,0,,
442,Cy Young,1995,NL,maddugr01,140,140,28,,
443,Cy Young,1995,NL,martira02,8,140,0,,
444,Cy Young,1995,NL,nomohi01,29,140,0,,
445,Cy Young,1995,NL,schoupe01,55,140,0,,
446,Cy Young,1996,AL,fernaal01,1,140,0,,
447,Cy Young,1996,AL,hentgpa01,110,140,16,,
448,Cy Young,1996,AL,hernaro01,1,140,0,,
449,Cy Young,1996,AL,hillke01,1,140,0,,
450,Cy Young,1996,AL,mussimi01,5,140,0,,
451,Cy Young,1996,AL,nagych01,12,140,0,,
