id,playerID,year,round,team,teamID,league,wins,loses,games,GS,CG,SHO,SV,IPouts,hits,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,runs,SH,SF,GIDP,createdAt,updatedAt
63,mcginjo01,1905,WS,NY1,1905NY1,NL,1,1,2,2,1,1,0,51,10,0,0,3,6,0.169,0,0,0,0,0,65,0,3,3,0,0,,
64,planked01,1905,WS,PHA,1905PHA,AL,0,2,2,2,2,0,0,51,15,3,0,4,11,0.238,1.59,1,1,1,0,71,0,4,3,0,0,,
65,altroni01,1906,WS,CHA,1906CHA,AL,1,1,2,2,2,0,0,54,11,2,0,2,5,0.196,1,0,1,0,0,65,0,2,7,0,0,,
66,brownmo01,1906,WS,CHN,1906CHN,NL,1,2,3,3,2,1,0,59,14,8,0,4,12,0.2,3.66,0,1,0,0,76,0,9,2,0,0,,
67,overaor01,1906,WS,CHN,1906CHN,NL,0,0,2,0,0,0,0,36,10,2,0,3,8,0.227,1.5,0,1,0,0,48,2,2,1,0,0,,
68,owenfr01,1906,WS,CHA,1906CHA,AL,0,0,1,0,0,0,0,18,6,2,0,3,2,0.286,3,0,1,0,0,26,1,3,2,0,0,,
69,pfiesja01,1906,WS,CHN,1906CHN,NL,0,2,2,1,1,0,0,31,7,7,0,3,11,0.194,6.1,0,0,2,0,43,0,7,2,0,0,,
70,reulbed01,1906,WS,CHN,1906CHN,NL,1,0,2,2,1,0,0,33,6,3,0,8,4,0.162,2.45,0,1,1,0,47,0,4,1,0,1,,
71,walshed01,1906,WS,CHA,1906CHA,AL,2,0,2,2,1,1,0,45,7,1,0,6,17,0.132,0.6,0,2,1,0,62,0,6,2,0,0,,
72,whitedo01,1906,WS,CHA,1906CHA,AL,1,1,3,2,1,0,1,45,12,3,0,7,4,0.222,1.8,1,0,1,0,64,1,7,2,0,1,,
73,brownmo01,1907,WS,CHN,1907CHN,NL,1,0,1,1,1,1,0,27,7,0,0,1,4,0.212,0,0,0,0,0,34,0,0,0,0,0,,
